,dataset_id,filename,year,layer,xlnet_corr,xlnet_pvalue,roberta_corr,roberta_pvalue,xlm_corr,xlm_pvalue
60,MSRpar_2012test,MSRpar,2012test,5,0.060674072473873505,0.0,0.044545417924446905,0.0,0.05842067000123486,0.0
61,MSRpar_2012train,MSRpar,2012train,5,0.07065565854266719,0.0,0.06491437058481017,0.0,0.06297948994805454,0.0
62,MSRvid_2012test,MSRvid,2012test,5,0.07135711677526753,0.0,0.03303790016028249,8.634364898699921e-298,0.006979994303520132,6.576290288905375e-15
63,MSRvid_2012train,MSRvid,2012train,5,0.07218808804073568,0.0,0.06228132220950115,0.0,0.025072545134087562,1.09771759026441e-172
64,answer-answer_2016,answer-answer,2016,5,0.09116445138272238,6.804234273805014e-223,0.051649319439643716,7.028991927537496e-73,0.05843356002631733,9.406292801384495e-93
65,answers-forums_2015,answers-forums,2015,5,0.04517853322094691,7.67594088285424e-135,0.03354842891775555,3.2086572674020765e-75,0.009218879118163876,4.585796341748083e-07
66,deft-forum_2014,deft-forum,2014,5,0.03700685225987849,8.510067652663389e-132,0.04351678851995995,1.8170202572249374e-181,0.03544858304841157,4.282336714110294e-121
67,deft-news_2014,deft-news,2014,5,0.11184665270259062,0.0,0.06954375797654574,2.6914544162905606e-203,0.050853307115167626,1.2089803462081758e-109
68,headlines_2013,headlines,2013,5,0.04178118677348964,0.0,0.01794101192717958,1.5702391656851095e-86,2.3239034048335378e-05,0.9796256435930712
69,headlines_2014,headlines,2014,5,0.019361381150564537,3.426742046011214e-100,0.008460119456633717,1.6235629495531936e-20,-0.011316760810847806,2.0458287308506845e-35
70,headlines_2015,headlines,2015,5,0.05018903159199959,0.0,0.03544881844210037,0.0,-0.002425005925201002,0.007598638496034849
71,headlines_2016,headlines,2016,5,0.0505084938220385,7.087824285167148e-67,0.06848602533686686,2.3468211983706405e-121,-0.005292805122480873,0.07023424421301781
72,images_2014,images,2014,5,0.09498637261470233,0.0,0.03641227635130148,0.0,-0.011646581533808245,1.5353672480846506e-37
73,images_2015,images,2015,5,0.08804168113814106,0.0,0.04746101253715603,0.0,0.009958485956526408,5.216237259461623e-28
74,track5.en-en_2017,track5.en-en,2017,5,0.06520526473432293,1.3860413861224232e-125,0.055559109046787854,1.0374197291278852e-91,0.001637326880927441,0.5494718025644041
75,MSRpar_2012test,MSRpar,2012test,6,0.07527444018329237,0.0,0.027191527764379216,1.4904023760127824e-201,0.0527804187122676,0.0
76,MSRpar_2012train,MSRpar,2012train,6,0.08073310539075274,0.0,0.039132557351072274,0.0,0.05048700118247472,0.0
77,MSRvid_2012test,MSRvid,2012test,6,0.09567385497761019,0.0,0.0659968713353953,0.0,0.009458867690830904,4.578666223447034e-26
78,MSRvid_2012train,MSRvid,2012train,6,0.09278978228096416,0.0,0.08650401811316479,0.0,0.024668475116903284,3.133634128757106e-167
79,answer-answer_2016,answer-answer,2016,6,0.10074260528145468,1.0175088468883311e-271,0.03264528048858222,3.6155906884886874e-30,0.0563262057190465,2.55561157287181e-86
80,answers-forums_2015,answers-forums,2015,6,0.05003445254911789,6.300043412098534e-165,0.02683432243761715,8.811470827092033e-49,0.00891897177964241,1.067199243024171e-06
81,deft-forum_2014,deft-forum,2014,6,0.03981107753157764,3.2784238865197602e-152,0.03287863379201149,1.9026180919582444e-104,0.033199592032854414,1.8552668514728199e-106
82,deft-news_2014,deft-news,2014,6,0.12307045097498982,0.0,0.03065848033168994,5.128033533576833e-41,0.04292398340909996,1.1423689499845996e-78
83,headlines_2013,headlines,2013,6,0.03974715101818783,0.0,0.019268665648185072,1.6218163503102844e-99,0.0023921596921591013,0.00856782088705455
84,headlines_2014,headlines,2014,6,0.028338605051608554,2.389596714413612e-212,0.012833831289537134,4.72918868754546e-45,-0.008346416426150482,5.1998517069824454e-20
85,headlines_2015,headlines,2015,6,0.06172060517563887,0.0,0.040392787515952065,0.0,-0.0022561199170271894,0.013009993237810347
86,headlines_2016,headlines,2016,6,0.06716750371589658,8.375257743986362e-117,0.05937881235541937,1.0395967981332163e-91,-0.005372762690377517,0.06609978604065193
87,images_2014,images,2014,6,0.10614157314217061,0.0,0.04350467303464949,0.0,-0.01019726329978986,3.57628008365495e-29
88,images_2015,images,2015,6,0.09323417018307656,0.0,0.05708202535059998,0.0,0.0076114180826161466,5.03013381728279e-17
89,track5.en-en_2017,track5.en-en,2017,6,0.07695307148087377,4.040114542998388e-174,0.05650657234258367,8.46116293519726e-95,0.001145121159012927,0.6754954069280903
90,MSRpar_2012test,MSRpar,2012test,7,0.09498557457501668,0.0,0.033494757561560985,1.0048124149845201e-304,0.06456043211477556,0.0
91,MSRpar_2012train,MSRpar,2012train,7,0.10381788477594024,0.0,0.03723548255445859,0.0,0.05951221582165387,0.0
92,MSRvid_2012test,MSRvid,2012test,7,0.11362860993071217,0.0,0.059761372944040624,0.0,0.008257400047869694,3.014247524280087e-20
93,MSRvid_2012train,MSRvid,2012train,7,0.11085963838365467,0.0,0.08402326831356326,0.0,0.021791325277875882,6.113823645788116e-131
94,answer-answer_2016,answer-answer,2016,7,0.10464876068807306,5.000008108113647e-293,0.04510627061880217,5.088580856166911e-56,0.05520424342655173,5.458883965099665e-83
95,answers-forums_2015,answers-forums,2015,7,0.04068260722828074,1.0303814682861347e-109,0.0157276847594218,7.745426531961426e-18,0.009437613719892508,2.4363395655877966e-07
96,deft-forum_2014,deft-forum,2014,7,0.04925942413454697,6.219541679455564e-232,-0.001573991224646253,0.2988023830597296,0.03524180167825397,1.0406927520067324e-119
97,deft-news_2014,deft-news,2014,7,0.13456627363216553,0.0,0.019194688328985614,4.5750547967932645e-17,0.047011072116233184,5.532689250778682e-94
98,headlines_2013,headlines,2013,7,0.05182829874417022,0.0,0.03483324595486908,0.0,0.003338130130876094,0.00024407675648490778
99,headlines_2014,headlines,2014,7,0.039499429947754,0.0,0.028581031653999906,5.831667518343274e-216,-0.0066266919395499635,3.5295984233931087e-13
100,headlines_2015,headlines,2015,7,0.07496268318561483,0.0,0.0509022478253231,0.0,-0.0043062952197084154,2.134113011167148e-06
101,headlines_2016,headlines,2016,7,0.06776594259933477,7.373428450727469e-119,0.06439840434084206,1.5738747448283327e-107,-0.002270191610803388,0.43744435300965645
102,images_2014,images,2014,7,0.11757531762048827,0.0,0.06618576823329181,0.0,-0.012746389077225176,1.274421819518758e-44
103,images_2015,images,2015,7,0.10891166519350579,0.0,0.06270951425474193,0.0,0.008576366290753137,3.4164634591450495e-21
104,track5.en-en_2017,track5.en-en,2017,7,0.09593444188669262,1.9048831685470385e-269,0.05261149689363475,1.9596106316395267e-82,-0.00010361683085967465,0.9697842850215248
105,MSRpar_2012test,MSRpar,2012test,8,0.10354364936962683,0.0,0.050922400345618,0.0,0.04982729245586437,0.0
106,MSRpar_2012train,MSRpar,2012train,8,0.10983686669551314,0.0,0.06834108968224457,0.0,0.04363488237967915,0.0
107,MSRvid_2012test,MSRvid,2012test,8,0.13291973514171712,0.0,0.06894896531993652,0.0,0.0036849177995845047,3.892110330697586e-05
108,MSRvid_2012train,MSRvid,2012train,8,0.12482851372597381,0.0,0.08036579407669485,0.0,0.011500673281268928,8.612263130228106e-38
109,answer-answer_2016,answer-answer,2016,8,0.10973186400313398,0.0,0.06582135519986422,3.629410959648391e-117,0.03890555835990374,3.938523336877221e-42
110,answers-forums_2015,answers-forums,2015,8,0.040691506387635835,9.243790528060976e-110,0.02326645306381237,4.179025714982146e-37,0.01417843664245511,8.776161109095057e-15
111,deft-forum_2014,deft-forum,2014,8,0.05843574527002447,0.0,0.016782880499982524,1.5948193758255184e-28,0.025769409196826708,6.852382974350238e-65
112,deft-news_2014,deft-news,2014,8,0.14951395514188168,0.0,0.07393201057562519,1.7307491672553188e-229,0.0012677568936624002,0.5791629020164062
113,headlines_2013,headlines,2013,8,0.06315821757641553,0.0,0.06280291786426292,0.0,0.005274823313945642,6.763217560567701e-09
