,model,layer,same_relation_group_rdm_corr,same_relation_group_rdm_std,same_relation_group_rdm_corr_within_compound_sentences,same_relation_group_rdm_std_within_compound_sentences,same_head_rdm_corr,same_head_rdm_std,same_head_rdm_corr_within_compound_sentences,same_head_rdm_std_within_compound_sentences,same_modifier_rdm_corr,same_modifier_rdm_std,same_modifier_rdm_corr_within_compound_sentences,same_modifier_rdm_std_within_compound_sentences
26,microsoft/phi-1,15,0.2592977390510793,0.1149368174588488,0.058887601961985545,0.2062182253332422,0.515181725244831,0.11637736288680023,0.34881199285414954,0.20277275399088074,0.28854644713446614,0.12307826009411592,0.3853379742761866,0.24344602755446176
27,microsoft/phi-1,16,0.2573072815354858,0.11226800152792721,0.07594850612744401,0.20686105288067788,0.5229514839584118,0.11013727757648818,0.3455589926109877,0.2041628199562475,0.2856136885812658,0.12023100832124617,0.3918439747625102,0.2475162538399862
28,microsoft/phi-1,17,0.2554625166447964,0.10973321128120715,0.07198217198395863,0.20252909508949404,0.5254639588361291,0.11005335653235147,0.3368843252958897,0.19818655556207473,0.28481679287863176,0.11946565509049586,0.4016029754919955,0.24090669922253452
29,microsoft/phi-1,18,0.253286658400873,0.10935386604861268,0.07460108598835326,0.20055578470069366,0.5289072890190866,0.10402936255069536,0.33146265822395343,0.19411596298332842,0.2873628811366489,0.11752979579103706,0.4113619762214808,0.2340051213746476
30,microsoft/phi-1,19,0.2505705578761947,0.10350195766201857,0.06805380097736671,0.20413482866053673,0.5340486275127122,0.10071982688523791,0.3081196432862084,0.19062530153625676,0.2842091052142288,0.1159658803877036,0.4297956442660642,0.23673381663191806
31,microsoft/phi-1,20,0.25189011750756524,0.10470512159411399,0.07591054299055058,0.1992909739429355,0.5336508311928083,0.10294119639474093,0.2886016418272377,0.1848178887591911,0.2908611494354004,0.11662218248376473,0.4503979791394222,0.2314524396408388
32,microsoft/phi-1,21,0.2531463526263075,0.10382936263900047,0.07460108598835327,0.2066198407205371,0.5378835485602586,0.10225223048534156,0.27884264109775236,0.18453076220332393,0.2900243964510783,0.11573518988419906,0.4612413132832947,0.23143371742066796
33,microsoft/phi-1,22,0.25256379047382305,0.10442572733759134,0.08376728500373445,0.19924084093524025,0.5416756501352121,0.10020300995775959,0.26799930695387975,0.18719754421736273,0.2844494565789251,0.11614380009000753,0.4720846474271673,0.23121167138861848
34,microsoft/phi-1,23,0.25479768838087224,0.10374608181980442,0.07329162898615595,0.1853276101404529,0.5460932644217618,0.09762996295943874,0.25390297256684535,0.18875206710922224,0.29343989601724746,0.11214745016258718,0.4883496486429762,0.23612759949916412
35,microsoft/phi-1,24,0.2546450400124495,0.10444475497628085,0.0693252948426706,0.1920543604696159,0.5496430820135543,0.09852063165591621,0.2430596384229728,0.20077501615949198,0.29113567382260436,0.10938918137203357,0.49268698230052527,0.2396394916796558
36,meta-llama/Llama-3.2-1B,1,0.18496693279487542,0.1246970483494386,0.0812622604100201,0.23439984213232687,0.3472339809784238,0.1533280377224826,0.44792978954121926,0.20795396866389454,0.24282325428170554,0.13306198807981226,0.23670817990156834,0.24971583946610038
37,meta-llama/Llama-3.2-1B,2,0.23832559986697388,0.12066616967927178,0.12451230461942475,0.24654760215936186,0.3489555913016421,0.15588389210592082,0.40519733040228695,0.22129638479911898,0.26435085231775574,0.1512014994337965,0.2800815164770587,0.21251721246589753
38,meta-llama/Llama-3.2-1B,3,0.1746613092201065,0.12771250455523844,0.113922759191166,0.2841582037768091,0.2678979307328092,0.15361847634023776,0.39435399625841433,0.2159550905165871,0.18164456552274852,0.15514188727086398,0.203169960659127,0.250538592103867
39,meta-llama/Llama-3.2-1B,4,0.17757875085793692,0.12585464159406667,0.10479452331267826,0.27876026843709717,0.2711024759798758,0.15563199900338387,0.40085999674473793,0.22502003095849052,0.18318168847351204,0.1564202471882211,0.20425429407351428,0.2555205771813933
40,meta-llama/Llama-3.2-1B,5,0.17939279931945679,0.12709606969716467,0.10082818916919291,0.28002486172202945,0.2815959860294838,0.1556257818409245,0.4073659972310615,0.2274310927993367,0.18523971507374082,0.16012478218710058,0.2020856272447398,0.25309203692585824
41,meta-llama/Llama-3.2-1B,6,0.17689701649148548,0.1306527037215736,0.10995642504768065,0.2748999042957737,0.27169924761130215,0.15050688531016984,0.40418186118884525,0.21431648493241734,0.178146242086043,0.15594930911683713,0.20642296090228882,0.2421059907796894
42,meta-llama/Llama-3.2-1B,7,0.17989518303796012,0.1295929942547937,0.11253737591518183,0.2753850259019521,0.2763480628926407,0.15451423881925583,0.41380313351643955,0.22039274753185245,0.17688060666038483,0.1560091556588306,0.20309384405556336,0.23896941237468086
43,meta-llama/Llama-3.2-1B,8,0.17607912764933464,0.12845727644113808,0.10217560930828364,0.2737830220593966,0.2818005553253371,0.15618002226758737,0.41509405953366324,0.21530567510590373,0.17667777232049311,0.1579572812230848,0.20425429407351428,0.2485224909388327
44,meta-llama/Llama-3.2-1B,9,0.17175859639451657,0.12557120343908118,0.12174153806745644,0.2779626575869842,0.2811717736541137,0.15513549090034576,0.4052661946032325,0.2216879674183025,0.16501290848444622,0.15537938176472338,0.20425429407351425,0.24880619360632683
45,meta-llama/Llama-3.2-1B,10,0.16583925643961794,0.12423971383058695,0.11257533905207526,0.2757099425352017,0.26957240786858094,0.15600455810174313,0.4096035282607815,0.21781966896979507,0.16087076358365143,0.1561713540148171,0.20100129383035253,0.2463394730106817
46,meta-llama/Llama-3.2-1B,11,0.16970525842545128,0.12518455911894907,0.12305099506965372,0.2708170428000231,0.2662009849421851,0.15067251224795405,0.42254666503248317,0.21258714199649267,0.15229687311783638,0.1559524590120653,0.19449529334402896,0.2478346662275633
47,meta-llama/Llama-3.2-1B,12,0.1443161499390862,0.11836627994624693,0.1178131670608645,0.2860159467865477,0.23242516570257823,0.14352149454166466,0.41387199771738514,0.22054347137969751,0.12782703402871837,0.15028124689038294,0.1879892928577054,0.2445787315560984
48,meta-llama/Llama-3.2-1B,13,0.13800114268933253,0.115532581859814,0.11650371005866718,0.28348364767348894,0.22467970541974008,0.14779939596076316,0.4084503306454488,0.23347101619404131,0.12489821187199784,0.149495340511792,0.16847129139873473,0.2559420107433157
49,meta-llama/Llama-3.2-1B,14,0.14456485817949363,0.11867119086686172,0.11519425305646987,0.28564366428189636,0.2303295076432077,0.1462955550147659,0.405197330402287,0.23096750341204011,0.12842254901188485,0.15125612067349437,0.17606162529944552,0.25385669422826224
50,meta-llama/Llama-3.2-1B,15,0.15094671185511047,0.11897090660487182,0.12170357493056298,0.2768995348726046,0.2339160802526571,0.14814820866187398,0.4094657998588906,0.22988958782579996,0.13256190610439667,0.15392774343091523,0.17490117528149454,0.24867075120164764
51,meta-llama/Llama-3.2-1B,16,0.14556151206118717,0.11761857960125797,0.10995642504768063,0.27415038710182543,0.23719202395619018,0.154857397475417,0.41061899747422337,0.2156949560039339,0.12577908527824347,0.14795045196389442,0.18148329237138186,0.2500094632161497
